voter_name,affiliation,year,award,player,points_given
Antoine Bancharel,L'Equipe / Canal+,2022,COY,Ime Udoka,1
Antoine Bancharel,L'Equipe / Canal+,2022,DPOY,Rudy Gobert,5
Antoine Bancharel,L'Equipe / Canal+,2022,DPOY,Marcus Smart,3
Antoine Bancharel,L'Equipe / Canal+,2022,DPOY,Mikal Bridges,1
Antoine Bancharel,L'Equipe / Canal+,2022,MIP,Jordan Poole,5
Antoine Bancharel,L'Equipe / Canal+,2022,MIP,Tyrese Maxey,3
Antoine Bancharel,L'Equipe / Canal+,2022,MIP,Desmond Bane,1
Antoine Bancharel,L'Equipe / Canal+,2022,MVP,Joel Embiid,10
Antoine Bancharel,L'Equipe / Canal+,2022,MVP,Nikola Jokic,7
Antoine Bancharel,L'Equipe / Canal+,2022,MVP,Giannis Antetokounmpo,5
Antoine Bancharel,L'Equipe / Canal+,2022,MVP,Luka Doncic,3
Antoine Bancharel,L'Equipe / Canal+,2022,MVP,Ja Morant,1
Antoine Bancharel,L'Equipe / Canal+,2022,ROY,Scottie Barnes,5
Antoine Bancharel,L'Equipe / Canal+,2022,ROY,Evan Mobley,3
Antoine Bancharel,L'Equipe / Canal+,2022,ROY,Cade Cunningham,1
Antoine Bancharel,L'Equipe / Canal+,2022,SMOY,Tyler Herro,5
Antoine Bancharel,L'Equipe / Canal+,2022,SMOY,Kevin Love,3
Antoine Bancharel,L'Equipe / Canal+,2022,SMOY,Luke Kennard,1
Antoni Daimiel,Movistar+,2022,All-Defense,Jaren Jackson Jr.,2
Antoni Daimiel,Movistar+,2022,All-Defense,Draymond Green,2
Antoni Daimiel,Movistar+,2022,All-Defense,Robert Williams III,2
Antoni Daimiel,Movistar+,2022,All-Defense,Marcus Smart,2
Antoni Daimiel,Movistar+,2022,All-Defense,Mikal Bridges,2
Antoni Daimiel,Movistar+,2022,All-Defense,Matisse Thybulle,1
Antoni Daimiel,Movistar+,2022,All-Defense,Herbert Jones,1
Antoni Daimiel,Movistar+,2022,All-Defense,Evan Mobley,1
Antoni Daimiel,Movistar+,2022,All-Defense,Dejounte Murray,1
Antoni Daimiel,Movistar+,2022,All-Defense,Fred VanVleet,1
Antoni Daimiel,Movistar+,2022,All-NBA,Giannis Antetokounmpo,5
Antoni Daimiel,Movistar+,2022,All-NBA,Nikola Jokic,5
Antoni Daimiel,Movistar+,2022,All-NBA,Joel Embiid,5
Antoni Daimiel,Movistar+,2022,All-NBA,Luka Doncic,5
Antoni Daimiel,Movistar+,2022,All-NBA,Devin Booker,5
Antoni Daimiel,Movistar+,2022,All-NBA,Jayson Tatum,3
Antoni Daimiel,Movistar+,2022,All-NBA,LeBron James,3
Antoni Daimiel,Movistar+,2022,All-NBA,Karl-Anthony Towns,3
Antoni Daimiel,Movistar+,2022,All-NBA,Ja Morant,3
